,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Aruba,ABW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,726000000.0,873000000.0,1068000000.0,1245000000.0,1369000000.0,1561000000.0,1716000000.0,1939000000.0,2230000000.0,2364000000.0,2470000000.0,2742000000.0,2981000000.0,3084000000.0,3353480000.0,3394658000.0,3511700000.0,3658960000.0,4036147000.0,4224431000.0,4420911000.0,4792978000.0,5089014000.0,4571290000.0,4391939000.0,4721768000.0,4681223000.0,4882851000.0,4995621000.0,5303604000.0,5340707000.0,5535448000.0,5864370000.0,6078480000.0,4442524249.88378,5243709375.06937,5870024943.05144,6530945913.71127
1,Africa Eastern and Southern,AFE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167043599900.0,133474620100.0,182162721300.0,221358563000.0,249791940700.0,308163225800.0,348048404600.0,485419056200.0,515046858600.0,611692107000.0,726231122700.0,850347275400.0,1028794220100.0,1138809791300.0,1176469485800.0,1222756495400.0,1222916881100.0,1285460326500.0,1327690394700.0,1469596303300.0,1534966000000.0,1251172000000.0,1283441000000.0,1357275145600.0
3,Africa Western and Central,AFW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,177.42880075,166.05935147,166.05935147,173.05593188,183.441471,226.00252894,211.5961353,241.86945061,262.37597645,305.21688326,335.9646477,700.0,3800.0,29400.0,678100.0,15015300.0,835493000.0,1751785000.0,2555800000.0,17171000000.0,91666100000.0,197110800000.0,665385000000.0,1328940000000.0,1967571000000.0,3222352000000.0,4209762000000.0,5006335000000.0,6643353000000.0,5577341000000.0,7701651000000.0,10500942000000.0,12224950000000.0,13195004000000.0,14323859000000.0,13950291000000.0,16549565000000.0,20262296000000.0,25627742000000.0,30330429000000.0,31700771000000.0,44535941000000.0,52183996000000.0,61993152000000.0
5,Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,14991970000.0,15514160000.0,15968780000.0,16142520000.0,15935960000.0,16276690000.0,16778610000.0,16646370000.0,16409890000.0,18024720000.0,16228430000.0,15833650000.0,48934320000.0,120976260000.0,177981840000.0,221803320000.0,334359000000.0,331324000000.0,384848000000.0,443594000000.0,501199000000.0,563449000000.0,610494000000.0,677738000000.0,737656000000.0,804163000000.0,872735000000.0,965528000000.0,1080676000000.0,1143936000000.0,1239645000000.0,1300624000000.0,1332811000000.0,1350053000000.0,1395305000000.0,1434307000000.0,1472479000000.0,1550645485900.0,1660820462075.06,1712036781040.0,1655984492630.0,1866673733560.0,2149740803640.0,2369905914034.76
6,Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,33075100.0,37328600.0,43809600.0,52817200.0,64679900.0,75943900.0,91389700.0,115960200.0,141930500.0,166030700.0,192360700.0,215833200.0,248204100.0,282616900.0,318914300.0,354366200.0,405699900.0,453657900.0,505070300.0,565962200.0,630395100.0,691276900.0,744521400.0,770274000.0,819228800.0,883347000.0,931789600.0,1038925600.0,1088194100.0,1163747900.0,1551090000.0,1728690000.0,1865830000.0,2092490000.0,2331570000.0,2540880000.0,2755130000.0,2887770000.0,2789260000.0,2644840000.0,2602310000.0,2607220000.0,2481850000.0,2404540000.0,2462690000.0,2514510000.0,2616860000.0,2655760000.0,2725270000.0,2818420000.0,2531090000.0,2810970000.0,3210310000.0,3500580000.0
7,Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,United Arab Emirates,ARE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,3266600073.0,4462580035.0,6206540140.0,16909196156.0,46129476175.0,58313000000.0,75951000000.0,97082000000.0,92041000000.0,119147000000.0,161638000000.0,181103000000.0,171152000000.0,157131000000.0,153477000000.0,149056000000.0,124607000000.0,133569000000.0,133168000000.0,152218000000.0,186125000000.0,189248000000.0,199112000000.0,204200000000.0,217709000000.0,241345000000.0,270080000000.0,289418000000.0,277914000000.0,310126000000.0,383179000000.0,379412000000.0,403300000000.0,456662000000.0,542885000000.0,663317651100.0,815723000000.0,947197000000.0,1158580526300.0,931152675000.0,1102444296018.82,1325158236028.17,1412480685472.86,1469802550498.05,1520801959422.1,1359836661959.71,1356090185600.87,1434172962750.6,1568339039568.47,1535067253069.93,1283439648824.91,1524744116447.4,1846283032012.77,1888144013918.44
9,Argentina,ARG,GDP (current LCU),NY.GDP.MKTP.CN,0.1315089166,0.1668071896,0.2131359279,0.2534708977,0.359472096,0.4818600118,0.6012399793,0.8004699945,0.9252899885,1.0939699411,1.2001999617,1.664659977,2.7786400318,4.7289600372,6.5193099976,19.402299881,102.33899689,283.90499878,708.61102295,1932.1400146,3840.3999023,7474.2998047,21852.5,109490.0,790920.0,5305000.0,9984100.0,23332300.0,111062000.0,3244039936.0,68921999360.0,180898005000.0,226638004200.0,236504973300.0,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,312580000000.0,375909500000.0,485115194700.0,582538172900.0,715904271700.0,896980174100.0,1149646090600.0,1247929268900.0,1661720925900.0,2179024103600.0,2637913848200.0,3348308488200.0,4579086425400.0,5954510895700.0,8228159556500.0,10660228494800.0,14744810677300.0,21558444149200.0,27209814143300.0,46219083510300.0,82652824186400.0,191404996704200.0
