Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,22.1092193573017,21.2623843883974,21.8454919236646,21.1902114344589
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Albania,ALB,19.1885468896252,9.69245349651536,11.4518682295269,11.1106353102927,11.2693152160404,11.4983976170746,11.8666128771924,12.6759965465543,13.6673304631369,12.8352244543565,12.0411725712096,12.0464697906067
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Algeria,DZA,16.0669306193343,13.5839456347184,18.9932826125176,20.5244656437501,20.0218426111777,18.8290421977276,17.4037117605062,18.2610260787535,19.8031597171656,18.4286289389909,16.5359089102657,17.9279465789317
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Angola,AGO,..,..,17.9756586545567,16.4328328348133,13.8806850814508,12.9358193168237,10.4745435629873,8.59885628389892,8.64793565020863,7.68345467585382,8.09626587411972,5.17486195152652
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Argentina,ARG,3.13542839161188,13.7841913064131,16.9498757371062,18.098379759087,17.6545781863509,17.6968939223042,15.8050971558947,16.4432415862976,16.8730073837365,15.9158179423023,15.8356571842994,16.3874689950096
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Armenia,ARM,18.3064997018485,10.7986680994975,12.0858534859076,13.1115978061212,13.4541585167703,12.3185519874739,11.4866903221706,12.5645600985114,14.9686182373692,13.649850256969,11.6764818949578,14.146579323878
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Aruba,ABW,..,21.4195402984363,24.8237406320455,23.2556955609808,23.4875270259162,23.021623543388,23.0710204165153,22.4985522696464,28.5514847474087,22.8317058479257,21.2077644140089,19.5624734468951
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Australia,AUS,17.6415791333398,18.5380745283503,18.7777654809849,19.1888755144951,19.9735933226935,19.9482833661896,20.0168291219813,20.3713413159323,21.8946914788236,22.4227187171293,22.0784275525044,21.3138550807727
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Austria,AUT,18.0463589294257,19.3282687281008,19.9847608163281,19.8879548545364,19.7584191442748,19.598940636538,19.4423168006638,19.5313211345866,21.1529340170726,21.7317656146414,20.5524888096447,20.4654125213615
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Azerbaijan,AZE,17.5989085948158,15.1501663805345,10.8858730371216,12.4082383229128,12.8320634437288,11.3414124411056,10.4664635668981,11.1234709302752,16.2189420775689,13.867442319577,11.6421479898517,14.0129506404185
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,"Bahamas, The",BHS,12.8591282375237,9.2540429172646,11.3029770095042,11.5293996692912,10.8419681399052,11.911708221988,11.4221848792784,12.5750987231296,18.4832600269125,14.787710332574,13.3034925854877,12.9581197475329
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bahrain,BHR,21.2953484569812,16.2088242630552,15.4831515158932,16.8844592583385,16.2779891747981,15.8528730767939,15.5591373854315,14.9941478169385,16.5556087406632,15.2083365894066,13.6270690862434,14.6493455223153
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bangladesh,BGD,4.05325016763114,4.97312138319291,5.33752075651661,5.40424038147983,5.86529831496558,6.02233215987973,5.95916693091491,6.2381894055709,5.97120729189186,5.88274868783073,5.69899955596024,5.66516962733289
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Belarus,BLR,23.7875288683603,19.4785302940726,13.7542039489197,14.9215882549216,15.6536667052839,15.6532511253168,15.7398626553303,16.8430662351928,16.9648880250599,16.8160154682014,17.2288777285138,18.0560138047009
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Belgium,BEL,20.2172850732894,21.0401971476314,24.1169029008666,23.681203644432,23.3498908084191,23.1178023270709,23.1696191313969,23.0038112825895,24.3008045914304,23.840764613164,23.4930358538363,23.7719441521893
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Belize,BLZ,8.13305309330165,14.3120554921415,16.2516076230562,17.1906705273478,18.1233818409071,18.8192207562988,19.4047748828082,18.7581124649332,17.3287319186431,16.6904215983971,15.8077774264938,15.7460162707664
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Benin,BEN,17.5694732161861,8.08059450959748,10.1801970840633,11.4113801450627,10.2808187596981,10.4789842865023,10.4105053943384,10.3420632400446,11.3993621464496,10.075964534303,10.0578392538627,9.50419732307074
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bermuda,BMU,..,..,12.8349164357651,12.5031463477346,12.1305912496553,11.6269288561301,11.7283240729939,12.2567291689258,12.7251821400066,12.3314733455503,11.8919440264283,11.9802989547637
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bhutan,BTN,16.9548905341621,23.9398059875044,18.1267964218475,19.1338713325621,18.1053243748123,18.1851042523882,18.4949254663129,19.1177473903155,22.3153543541158,22.6722251466473,21.017331333596,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bolivia,BOL,11.7554815839474,14.5392995149189,14.7070466305627,17.495258205695,17.458252194001,17.0216400452702,17.5256446701758,18.1430920033366,19.7386344394638,19.3369845659035,19.0899160383982,19.2863642712835
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bosnia and Herzegovina,BIH,..,24.6018002585722,22.8610441376188,21.9698075332043,20.9094500085164,20.1653336206043,19.6573572916203,19.3589700275359,20.7503460226245,19.4015205743907,18.661917599169,19.1801108509276
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Botswana,BWA,24.1366353059618,24.9027290058887,29.2537913997764,31.6393989708793,28.4757218286483,28.8780859521463,29.0985189512999,31.6419395023481,36.1430509538337,31.529241052792,27.887294990784,28.943152194439
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,19.2909224528275,18.7678457444131,19.1535387102127,19.776819955412,20.3792974286877,20.1619046966819,19.89508778307,19.9835812858102,20.1351530166446,18.5475883591271,18.4022127200534,18.2188134962514
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brunei Darussalam,BRN,12.8339993692161,25.8203529084892,21.4176336764652,25.0616661018251,26.2231786391499,26.4772469900105,24.1417285415155,25.0403961704296,25.4309859630128,22.467059001544,20.1242382276026,22.8180466531474
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Bulgaria,BGR,18.1865848876199,19.7851119720333,16.833076863621,16.089141458635,15.5888636114576,15.5845769435159,16.4413955723422,16.7729754809183,19.3076450675755,18.8851860438699,18.2789290615071,18.4205974000082
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Burkina Faso,BFA,21.0569952699417,14.1091885003293,15.474778613438,15.9440802560458,16.5070965979117,17.7393231525305,18.419409475168,20.4999424066528,19.7841401519952,20.2479804523801,19.8707731771458,19.9750711747148
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Burundi,BDI,10.8160802153932,14.8566983263618,25.9000061887709,22.4223834424569,23.4731936302723,25.086288811734,26.2102674584933,27.2447699991553,31.344300000757,30.7724699997721,30.9754527025244,30.5053089649887
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Cabo Verde,CPV,..,..,19.7924331719005,20.2594635661932,19.8316445191845,17.7675351284663,18.1291233549744,19.8144671965614,25.729310475556,26.5876325060221,22.365022001237,21.7533597293807
